id,event_id,month,start_date,end_date,display_text,recurrence_text,year_specific
1,1,,,,"Sat 8a-12p (Apr-Oct), Wed 4-7p (May-Aug), member Sat (Nov-Mar)","Sat 8a-12p (Apr-Oct), Wed 4-7p (May-Aug), member Sat (Nov-Mar)",true
2,2,3,2026-03-05,2026-03-08,Mar 5-8 (2026),,true
3,3,4,,,Spring 2026 (food-truck registration to Mar 15),,true
4,4,4,,,Apr 26 (rain date May 3); 12-6pm,,true
5,5,5,2026-05-13,2026-05-16,May 13-16 (2026),,true
6,6,5,,,Mid-May (2027),,false
7,7,5,,,Late May - early June (May 29-Jun 6),,true
8,8,5,,,"May 1, May 29, Jun 12, Jun 26, Aug 7, Aug 21, Sep 11, Oct 2","May 1, May 29, Jun 12, Jun 26, Aug 7, Aug 21, Sep 11, Oct 2",true
9,9,6,2026-06-13,2026-06-13,Jun 13 (2026),,true
10,10,6,,,Jun 3-6,,true
11,11,6,,,Fourth weekend of June,,false
12,12,6,,,Jun 27 - Jul 5 (centered on Jul 4),,true
13,13,7,,,Jul 21-25,,true
14,14,7,2026-07-31,2026-08-08,Jul 31 - Aug 8 (2026),,true
15,15,8,,,Aug 4-9,,true
16,16,8,,,Aug 7-8,,true
17,17,8,,,Aug 13-23,,true
18,18,8,,,Aug 13-23,,true
19,19,8,2026-08-13,2026-08-23,Aug 13-23 (2026),,true
20,20,8,,,Aug 28 - Sep 7 (ends Labor Day),,true
21,21,9,2026-09-01,2026-09-04,Sep 1-4 (2026),,true
22,22,9,,,Saturday (Sep 12),,true
23,23,9,2026-09-18,2026-09-20,Sep 18-20 (2026),,true
24,24,9,,,Sep 26 (10a-5p),,true
25,25,9,,,Saturday Sep 26,,true
26,26,9,,,Sep 25-27,,true
27,27,10,,,Oct 1-11,,true
28,28,10,,,First Saturday (Oct 3),,true
29,29,10,,,All weekends in October,All weekends in October,false
30,30,10,,,Oct 10-11 (9a-5p both days),,true
31,31,10,,,Oct 16-25,,true
32,32,12,2026-12-04,2026-12-04,"First Friday Dec (Dec 4, 2026), 6-8pm",,true
33,33,9,,,N/A,,false
34,34,8,,,Aug 28-30,,true
35,35,9,,,Sep 18-19,,true
36,36,9,,,Sep 26-27,,true
37,37,6,,,Jun 11 (11a-7p),,true
38,38,5,,,Tue 11a-2p,Tue 11a-2p,true
39,39,10,,,Oct 3,,true
40,40,7,,,Jul 4 (noon-10p),,true
41,41,8,,,Aug 13-16,,true
42,42,,,,Rotating daily,Rotating daily,false
43,43,9,,,Late Sep,,false
44,44,5,,,Sat 7:30a-12p,,true
45,45,5,,,Frenzy May 29 + Oct 9; Fright Oct,,true
46,46,5,,,Select Fridays 6:30-9:30p,Select Fridays 6:30-9:30p,true
47,47,8,,,3rd full weekend,,false
48,48,9,,,Sep 18-19,,true
49,49,6,,,Jun 12-14,,true
50,50,5,,,May 15-17,,true
51,51,5,,,Sat,,false
52,52,5,,,May 15-17,,true
53,53,4,,,Apr 23-26,,true
54,54,5,,,Late May/early Jun (11a-7p),,false
55,55,7,,,Jul 4-11,,true
56,56,7,,,Jul 30-Aug 8,,true
57,57,10,,,Oct 2-3,,true
58,58,10,,,Oct 2-4,,true
59,59,12,,,Dec (dates unconfirmed),,false
60,60,,,,2-day,2-day,false
61,61,3,,,3rd Thu 5:30-8:30p,3rd Thu 5:30-8:30p,false
62,62,4,,,2nd Fri 11a-9p,2nd Fri 11a-9p,false
63,63,,,,Near-daily,Near-daily,false
64,64,4,,,1st Fri 5-9p,1st Fri 5-9p,false
65,65,7,,,Jul 18 + Sep 19,,true
66,66,8,,,Late Aug (~Aug 21-23),,true
67,67,9,,,Sep 4-7 (Labor Day),,true
68,68,9,,,Sep 12,,true
69,69,6,,,~Jun 26-27,,true
70,70,10,,,~Oct 9-10,,true
71,71,5,,,May 9,,true
72,72,9,,,Sep 18-20,,true
73,73,9,,,Mid-Sep,,false
74,74,9,,,Late Sep (~Sep 25-27),,true
75,75,4,,,Wed 11a-2p,Wed 11a-2p,true
76,76,4,,,Tue 4-8p / Sat 8a-12p,Tue 4-8p / Sat 8a-12p,true
77,77,4,,,Apr 11 (10a-2p),,true
78,78,5,2026-05-29,2026-05-30,May 29-30 (2026 reduced),,true
79,79,5,,,Mid-May (~May 19-21),,true
80,80,5,,,May 14-17,,true
81,81,5,,,May 29-31 (Memorial wknd),,true
82,82,5,,,"5/16, 6/20, 7/18, 8/15","5/16, 6/20, 7/18, 8/15",false
83,83,6,,,Jun 24-27,,true
84,84,,,,Date fuzzy,,false
85,85,10,,,Oct 10 (11a-4p),,true
86,86,10,,,Oct 22-25,,true
87,87,,,,Varies,Varies,false
88,88,3,,,Last Fri 5-9:30p,Last Fri 5-9:30p,false
89,89,9,,,Sep 11-20,,true
90,90,6,,,Jun 11-14,,true
91,91,6,,,Jun 12-13,,true
92,92,10,,,Oct 2-3,,true
93,93,10,,,Oct 2-3,,true
94,94,5,,,Mid-May (3rd weekend),,false
95,95,5,,,Late May/early Jun (Fri-Sun),,false
96,96,5,,,"4 weekends (May 1-10, Oct 2-11)","4 weekends (May 1-10, Oct 2-11)",true
97,97,,,,Lunch/dinner slots,Lunch/dinner slots,false
98,98,7,,,Jul 31-Aug 2,,true
99,99,7,,,Jul 10-12,,true
100,100,8,,,Aug 13-15,,true
101,101,9,,,Sep 11-13,,true
102,102,9,,,~Sep 18-20,,true
103,103,5,,,Thu 4:30-7:30p,,true
104,104,6,,,Jun 17-21 (Father's Day wknd),,true
105,105,10,,,Sep-Oct,,false
106,106,4,,,Apr 19 (12-5p),,true
107,107,,,,Thu 11a-2p,Thu 11a-2p,true
108,108,9,,,Sep 12-13,,true
109,109,10,,,Oct 16-17,,true
110,110,10,,,Oct 2-3,,true
111,111,8,,,Aug 15,,true
112,112,,,,Thu 11a-2p,Thu 11a-2p,true
113,113,10,,,October,,false
114,114,4,,,Apr 25-26,,true
115,115,10,,,Oct 24-25,,true
116,116,12,,,Dec 12-13,,true
117,117,12,,,"Square Fest, Main St Fest (Oct 3), etc.",,true
118,118,,,,Varies,Varies,false
119,119,9,,,Sep 30-Oct 3,,true
120,120,4,,,"1st Fri, trucks open 11a","1st Fri, trucks open 11a",false
121,121,,,,Daily,Daily,false
122,122,9,,,Sep 19,,true
123,123,9,,,Mid-late Sep,,false
124,124,8,,,Late August,,false
125,125,5,,,Early May (~May 1-3),,true
126,126,4,,,Apr 17,,true
127,127,5,,,May 1-2,,true
128,128,5,2026-05-29,2026-05-31,May 29-31 (2026),,true
129,129,7,2026-07-17,2026-07-18,Jul 17-18 (2026),,true
130,130,8,2026-08-14,2026-08-15,Aug 14-15 (2026),,true
131,131,6,2026-06-11,2026-06-12,Jun 11-12 (2026),,true
132,132,7,2026-07-20,2026-07-20,Late July 2026 (TBD),,true
133,133,5,2026-04-18,2026-04-19,"Apr 18-19, 25-26 & May 3-4 (2026)",,true
134,134,10,2026-10-03,2026-10-03,Oct 3 (2026),,true
135,135,7,,,Jul 4,,true
136,136,7,2026-07-28,2026-08-02,Jul 28 - Aug 2 (2026),,true
137,137,7,2026-07-21,2026-07-25,Jul 21-25 (2026),,true
138,138,4,2026-04-10,2026-04-11,Apr 10-11 (2026),,true
139,139,8,2026-08-01,2026-08-01,Aug 1 (2026),,true
140,140,10,,,"Saturday, early October (2026)",,false
141,141,8,2026-08-13,2026-08-15,Aug 13-15 (2026),,true
142,142,9,2026-09-10,2026-09-12,Sep 10-12 (2026),,true
143,143,8,2026-08-24,2026-08-29,Aug 24-29 (2026),,true
144,144,8,2026-08-20,2026-08-22,Aug 20-22 (2026),,true
145,145,9,,,Last full weekend September (biennial; verify 2026 occurrence),,false
146,146,9,2026-09-19,2026-09-19,Sep 19 (2026); 3rd Sat Sep,Sep 19 (2026); 3rd Sat Sep,false
147,147,10,2026-10-03,2026-10-05,Oct 3-5 (2026),,true
148,148,7,2026-07-07,2026-07-12,Jul 7-12 (2026),,true
149,149,6,2026-06-11,2026-06-13,Jun 11-13 (2026),,true
150,150,9,2026-09-12,2026-09-12,Sep 12 (2026),,true
151,151,7,2026-07-29,2026-08-01,Jul 29 - Aug 1 (2026),,true
152,152,5,2026-05-27,2026-05-30,May 27-30 (2026),,true
153,153,9,2026-09-08,2026-09-12,Sep 8-12 (2026),,true
154,154,7,2026-07-20,2026-07-25,Jul 20-25 (2026),,true
155,155,9,2026-09-26,2026-09-26,Sep 26 (2026),,true
156,156,4,2026-04-23,2026-04-25,Apr 23-25 (2026),,true
157,157,9,2026-09-26,2026-09-27,Sep 26-27 (2026),,true
158,158,9,2026-09-15,2026-09-20,Sep 15-20 (2026),,true
159,159,5,2026-05-28,2026-05-30,May 28-30 (2026),,true
160,160,9,2026-09-10,2026-09-12,Sep 10-12 (2026),,true
161,161,7,2026-07-14,2026-07-18,Jul 14-18 (2026),,true
162,162,9,,,Early September (2026),,false
163,163,9,2026-09-24,2026-09-26,Sep 24-26 (2026),,true
164,164,9,,,Late September (2026),,false
165,165,7,2026-07-25,2026-07-26,Jul 25-26 (2026),,true
166,166,8,,,August (2026),,false
167,167,9,2026-09-12,2026-09-19,Sep 12-19 (2026),,true
168,168,7,2026-07-23,2026-07-27,Jul 23-27 (2026),,true
169,169,5,2026-05-06,2026-05-09,May 6-9 (2026),,true
170,170,8,2026-08-05,2026-08-08,Aug 5-8 (2026),,true
171,171,9,2026-09-20,2026-09-20,"Early September 2026 (Saturday, TBD)",,true
172,172,6,2026-06-05,2026-06-07,Jun 5-7 (2026),,true
173,173,7,2026-07-30,2026-08-01,Jul 30 - Aug 1 (2026),,true
174,174,8,2026-08-08,2026-08-09,Aug 8-9 (2026),,true
175,175,5,2026-05-01,2026-05-03,"First full weekend May (May 1-3, 2026)",,true
176,176,6,,,Mid-June (2026),,false
177,177,5,2026-05-15,2026-05-16,May 15-16 & Oct 16-17 (2026),May 15-16 & Oct 16-17 (2026),true
178,178,9,,,3rd week of September (2026),,false
179,179,6,2026-06-26,2026-06-27,Jun 26-27 (2026),,true
180,180,6,,,Jun 27,,true
181,181,,,,Summer (2026),,false
182,182,12,,,Early December (2026),,false
183,183,9,2026-10-03,2026-10-05,Oct 3-5 (2026),,true
184,184,10,2026-10-17,2026-10-18,Oct 17-18 (2026),,true
185,185,6,2026-06-01,2026-06-06,Jun 1-6 (2026),,true
186,186,9,2026-09-17,2026-09-19,Sep 17-19 (2026),,true
187,187,10,,,Mid-October (Saturday) 2026,,false
188,188,5,2026-05-20,2026-05-20,May 2026 (TBD; ~May 1),,true
189,189,7,,,July (2026),,false
190,190,,,,July (2026),,false
191,191,10,2026-10-18,2026-10-19,Oct 18-19 (2026),,true
192,192,7,2026-07-28,2026-08-01,Jul 28 - Aug 1 (2026),,true
193,193,7,2026-07-14,2026-07-18,Jul 14-18 (2026),,true
194,194,7,2026-07-06,2026-07-11,Jul 6-11 (2026),,true
195,195,7,2026-07-14,2026-07-18,Jul 14-18 (2026),,true
196,196,9,,,Late September (2026),,false
197,197,8,2026-08-29,2026-09-01,Aug 29 - Sep 1 (2026),,true
198,198,10,2026-10-16,2026-10-17,Oct 16-17 (2026),,true
199,199,6,,,Late June (2026),,false
200,200,7,2026-07-31,2026-08-08,Jul 31 - Aug 8 (2026),,true
201,201,7,,,Late July - early August (2026),,false
202,202,7,,,July (2026),,false
203,203,7,2026-07-01,2026-07-04,Jul 1-4 (2026),,true
204,204,6,2026-06-03,2026-06-06,Jun 3-6 (2026),,true
205,205,6,,,Early July (2026),,false
206,206,5,2026-05-01,2026-05-02,"First weekend May (May 1-2, 2026)",,true
207,207,7,2026-07-26,2026-08-01,Jul 26 - Aug 1 (2026),,true
208,208,6,2026-06-11,2026-06-13,Jun 11-13 (2026),,true
209,209,9,,,Late September (2026),,false
210,210,4,2026-04-16,2026-04-19,Apr 16-19 (2026),,true
211,211,9,,,Late September (2026),,false
