id,market_id,name,city,state,county,event_type,cadence,is_recurring_venue,food_truck_friendly,trip_type,verification_status,needs_confirmation,distance_from_columbia_mi,month,typical_dates,attendance_estimate,attendance_text,food_vendor_fee,application_method,contact_name,contact_email,contact_phone,homepage_url,primary_source_url,lat,lng,notes,last_verified
1,1,Columbia Farmers Market,Columbia,MO,Boone,farmers_market,year_round,false,concession_friendly,hometown,verified,false,0,Year-round,"Sat 8a-12p (Apr-Oct), Wed 4-7p (May-Aug), member Sat (Nov-Mar)",,Steady local traffic,Not researched,Vendor membership application,,,,columbiafarmersmarket.org/how-to/become-a-vendor,columbiafarmersmarket.org/how-to/become-a-vendor,38.95520,-92.33410,At Agriculture Park (1769 W. Ash St). PRODUCER-ONLY market - caps non-farmer processors/artisans/service vendors at 20% of membership. May limit a hot-dog truck's eligibility/slots.,2026-06-17
2,1,True/False Film Fest,Columbia,MO,Boone,festival,annual,false,unconfirmed,hometown,verified,true,0,March,Mar 5-8 (2026); Mar 4-7 (2027),,Large (downtown crowds),Not researched,Contact organizer,573,,442-TRUE,truefalse.org,truefalse.org,38.95345,-92.33107,"Downtown venues (Ragtag, Jesse Hall, Missouri Theatre, Blue Note). A documentary FILM fest - food-truck friendliness NOT established. Worth a direct ask given the crowds.",2026-06-17
3,2,Fountain Fest,Kansas City,MO,Jackson,festival,annual,false,explicit_yes,day_trip,verified,false,125,April,Spring 2026 (food-truck registration to Mar 15),,Small (selects ~5 trucks),No participation fee,Food-truck application at cityoffountains.org/fountain-fest-food-trucks (deadline ~Mar 15),,jeff.coffkc@gmail.com,,cityoffountains.org,cityoffountains.org,39.10320,-94.57860,"Dedicated food-truck festival; selects ~5 trucks; food trucks welcome. 2025 paused, relaunched for 2026.",2026-06-18
4,1,Columbia Area Earth Day Festival,Columbia,MO,Boone,art_fair,annual,false,explicit_yes,hometown,verified,false,0,April,Apr 26 (rain date May 3); 12-6pm,200,200+ vendors (35th year),Not researched,Separate food-vendor application,(Laura),comoearthday@gmail.com,573-875-0539,columbiaearthday.org,columbiaearthday.org,38.94995,-92.33107,"At Peace Park / downtown. Explicitly food-truck-friendly (""the health permit you already have is all you need""). Booths expected to sell out - deadline ~Mar 31.",2026-06-17
5,16,Memphis in May / World Championship BBQ,Memphis,TN,Shelby,bbq_fest,annual,false,concession_friendly,overnight,verified,true,290,May,Mid-May (May 13-16),,Large,Not researched,Vendor application (annual),,,,memphisinmay.org/vendor,memphisinmay.org/vendor,35.15300,-90.04900,2026 application already CLOSED (deadline Feb 27) and 2026 event already occurred. Track for 2027 cycle.,2026-06-17
6,1,Hermann Maifest,Hermann,MO,Gasconade,festival,annual,false,concession_friendly,day_trip,verified,false,75,May,Mid-May (2027),,Wine-country crowd,$50/space (covered booth),Vendor application via maifesthermann.org / maifest@visithermann.com (covered food booth ~$50),Cindy,maifest@visithermann.com,314-606-8932,maifesthermann.org,maifesthermann.org,38.70710,-91.43740,"Hermann street festival, 3rd weekend of May: vendors, food, music.",2026-06-18
7,11,Wichita Riverfest,Wichita,KS,Sedgwick,festival,annual,false,concession_friendly,overnight,verified,false,280,May-June,Late May - early June (May 29-Jun 6),,Large (9-day),Not researched,Food & Beverage Vendor Application PDF,Wichita Festivals Inc,,316-267-2817,wichitariverfest.com/food,wichitariverfest.com/food,37.69070,-97.33010,Food Court + Douglas Street food vendors (ticketless/cashless).,2026-06-17
8,3,Sauce Food Truck Fridays,St. Louis,MO,St. Louis City,food_truck_rally,multi_week,false,concession_friendly,day_trip,verified,false,125,May-Oct (8 Fridays),"May 1, May 29, Jun 12, Jun 26, Aug 7, Aug 21, Sep 11, Oct 2",,20+ trucks (free admission),Not researched,Dedicated vendor app - apply per date,St. Louis Food Truck Association / Sauce Magazine,,,saucemagazine.com/food-truck-fridays-2026,saucemagazine.com/food-truck-fridays-2026,38.62700,-90.19940,At Tower Grove Park. Trucks rotate per date - apply for specific dates. Closest/easiest of the regional finds.,2026-06-17
9,3,Edwardsville Route 66 Festival,Edwardsville,IL,Madison,festival,annual,false,concession_friendly,day_trip,verified,false,120,June,Jun 13 (2026),,Single-day,Not researched,2026 food vendor application via cityofedwardsville.com (fee due ~May 8),Edwardsville Parks & Rec,Parks@cityofedwardsville.com,618-692-7538,cityofedwardsville.com,cityofedwardsville.com,38.81490,-89.95320,"Route 66 festival in City Park: food vendors, roadside market, music.",2026-06-18
10,1,Moberly Railroad Days,Moberly,MO,Randolph,festival,annual,false,concession_friendly,day_trip,verified,false,36,June,Jun 3-6,,Free admission (multi-day),Not researched,Dedicated food-vendor page,Moberly Rotary Club,,,railroaddays.com/events/food-vendors,railroaddays.com/events/food-vendors,39.42190,-92.43820,At Depot Park downtown. Carnival + nightly music + craft/food vendors + beer garden.,2026-06-17
11,1,Boonville Heritage Days,Boonville,MO,Cooper,cultural_fest,annual,false,concession_friendly,day_trip,verified,false,28,June,Fourth weekend of June,,Community festival,Not researched,Craft vendor form via the Boonville Area Chamber (boonvillemochamber.com/heritage-days),Boonville Area Chamber of Commerce,,,goboonville.com/heritage-days-4th-weekend-in-june,goboonville.com/heritage-days-4th-weekend-in-june,38.97740,-92.74300,"Community festival, 4th weekend of June.",2026-06-18
12,22,National Tom Sawyer Days,Hannibal,MO,Marion,festival,annual,false,concession_friendly,day_trip,verified,false,100,June-July,Jun 27 - Jul 5 (centered on Jul 4),,Multi-day,Not researched,Hannibal Jaycees (annual),,,,visithannibal.com/events/71st-annual-national-tom-sawyer-days,visithannibal.com/events/71st-annual-national-tom-sawyer-days,39.71190,-91.35850,Main Street downtown Hannibal. Fees / application contact not yet captured.,2026-06-17
13,1,Boone County Fair,Columbia,MO,Boone,county_fair,annual,false,concession_friendly,hometown,verified,false,0,July,Jul 21-25,,County fair (booth hrs 5-10pm),Not researched,Vendor registration (opened Feb 26),,,573-474-9435,theboonecountyfair.com/vendors,theboonecountyfair.com/vendors,38.94820,-92.33410,At 5212 N Oakland Gravel Rd (within city limits). Actively recruiting food vendors / craft vendors / businesses.,2026-06-17
14,10,Lancaster County Super Fair,Lincoln,NE,Lancaster,county_fair,annual,false,concession_friendly,overnight,verified,true,330,Summer (verify),Late July / early August (verify),,Mid-size county fair,Not researched,Online vendor application,,,,superfair.org/support/vendor,superfair.org/support/vendor,40.81360,-96.70260,At Sandhills Global Event Center. Exact 2026 dates not captured - verify.,2026-06-17
15,7,Mississippi Valley Fair,Davenport,IA,Scott,county_fair,annual,false,concession_friendly,overnight,verified,false,270,August,Aug 4-9,295000,~295000 (6-day),Not researched,Mailed Commercial Space Application,,vicky@mvfair.com,563-326-5338,mvfair.com/commercial-space,mvfair.com/commercial-space,41.52710,-90.57760,Quad Cities. 200+ commercial vendor spaces. Apply by mail / call Vicky.,2026-06-17
16,4,Birthplace of Route 66 Festival,Springfield,MO,Greene,festival,annual,false,concession_friendly,overnight,verified,false,165,August,Aug 7-8,65000,65000+ (expecting 70000+),Not researched,Vendor application,,,,route66festivalsgf.com/vendors,route66festivalsgf.com/vendors,37.21250,-93.29230,Downtown Springfield. Free to public.,2026-06-17
17,1,Missouri State Fair,Sedalia,MO,Pettis,state_fair,annual,false,concession_friendly,day_trip,verified,false,90,August,Aug 13-23,329000,329000-350000,"Outdoor concession $75-$105 per front foot (10-ft min, electric extra); indoor booths $750-$1,100",2026 Vendor Application PDF to Concessions Dept (mail/email/fax),fax,vendors@mda.mo.gov,660-827-8160,mostatefair.com/participate/commercial/vendor-concessionaire,mostatefair.com/participate/commercial/vendor-concessionaire,38.70800,-93.22830,BEST big-fair target - largest event reachable without serious travel. Conflicts with Iowa State Fair (same dates).,2026-06-17
18,6,Iowa State Fair,Des Moines,IA,Polk,state_fair,annual,false,concession_friendly,overnight,verified,false,200,August,Aug 13-23,,Large (11-day),19.5% of gross after sales tax (min $80 per front foot); $25 per front foot deposit when space offered,Commercial space application - cycle OPENS IN JANUARY,,,,iowastatefair.org/participate/commercial-space,iowastatefair.org/participate/commercial-space,41.59030,-93.62500,DATE CONFLICT with Missouri State Fair (identical Aug 13-23) - pick one. Prior exhibitors get first option.,2026-06-17
19,5,Illinois State Fair,Springfield,IL,Sangamon,state_fair,annual,false,unconfirmed,day_trip,partial,true,140,August,Mid-late August (unverified),,Large,Not researched,Official PDF (isfvendorapplication.pdf) - MUST include color photos (2 for outdoor: day + night),,,,statefair.illinois.gov/food/vendor-applications.html,statefair.illinois.gov/food/vendor-applications.html,39.78170,-89.65010,Exact 2026 dates and fairgrounds building address could NOT be verified - confirm directly.,2026-06-17
