id,name,anchor_city,state,center_lat,center_lng,default_zoom,distance_from_columbia_mi,summary
1,Columbia / Mid-Missouri,Columbia,MO,38.9517,-92.3341,9,0,Hometown + mid-MO towns within ~100 mi
2,Kansas City Metro,Kansas City,MO,39.0997,-94.5786,10,125,KC MO+KS metro and suburbs
3,St. Louis Metro,St. Louis,MO,38.627,-90.1994,10,125,STL MO side + Illinois Metro East
4,Springfield / Ozarks,Springfield,MO,37.209,-93.2923,9,165,SW Missouri Ozarks incl. Branson/Joplin
5,Central Illinois,Springfield,IL,39.7817,-89.6501,10,140,Springfield IL / Illinois State Fair
6,Des Moines,Des Moines,IA,41.5868,-93.625,10,200,Des Moines metro
7,Quad Cities,Davenport,IA,41.5236,-90.5776,10,270,Davenport/Bettendorf IA + Moline IL
8,Cedar Rapids / Iowa City,Cedar Rapids,IA,41.9779,-91.6656,9,255,CR + Iowa City corridor
9,Omaha Metro,Omaha,NE,41.2565,-95.9345,10,340,Omaha NE + Council Bluffs IA
10,Lincoln Area,Lincoln,NE,40.8136,-96.7026,9,330,Lincoln + Wilber + Grand Island
11,Wichita / S-Central Kansas,Wichita,KS,37.6872,-97.3301,9,280,"Wichita, Hutchinson, Salina, Derby"
12,Central Kansas,Junction City,KS,39.0286,-96.8314,9,150,Junction City / Manhattan corridor
13,Tulsa Metro,Tulsa,OK,36.154,-95.9928,10,346,Tulsa + Broken Arrow/Owasso/Bixby/Bartlesville
14,NW Arkansas,Bentonville,AR,36.3729,-94.2088,9,250,Bentonville/Rogers/Springdale/Fayetteville + Fort Smith
15,Central Arkansas,Little Rock,AR,34.7465,-92.2896,10,376,Little Rock / North Little Rock / Conway
16,Memphis,Memphis,TN,35.1495,-90.049,10,290,Memphis TN + suburbs + Southaven MS
17,Nashville,Nashville,TN,36.1627,-86.7816,10,431,Nashville + Franklin/Hendersonville/Gallatin/Murfreesboro
18,Lake of the Ozarks,Osage Beach,MO,38.13,-92.6568,10,70,"Lake of the Ozarks: Camdenton, Osage Beach, Eldon, Laurie"
19,Rolla / I-44 Corridor,Rolla,MO,37.9514,-91.7713,9,100,"I-44 corridor: Rolla, St. James, Cuba, Steelville, Salem, Waynesville"
20,Southeast Missouri,Cape Girardeau,MO,37.3059,-89.5181,8,205,"SE Missouri: Cape Girardeau, Farmington, Poplar Bluff, Sikeston, Ste. Genevieve"
21,South-Central Ozarks,West Plains,MO,36.7281,-91.8524,8,150,"South-central Ozarks: West Plains, Ava, Gainesville, Houston, Eminence"
22,Northeast Missouri,Hannibal,MO,39.7084,-91.3585,9,105,"NE Missouri / Mark Twain river country: Hannibal, Bowling Green, Troy, Paris"
23,North-Central Missouri,Kirksville,MO,40.1947,-92.583,9,95,"N-central MO: Kirksville, Macon, Brookfield, Trenton, Chillicothe, Carrollton"
24,West-Central Missouri,Warrensburg,MO,38.7628,-93.736,9,85,"W-central MO: Warrensburg, Clinton, Warsaw, Richmond, Butler, Nevada"
25,Bootheel,Kennett,MO,36.2364,-90.0557,9,250,"MO Bootheel: Kennett, Caruthersville, New Madrid, Charleston"
26,Northwest Missouri,St. Joseph,MO,39.7686,-94.8466,9,150,"NW Missouri: St. Joseph, Maryville, Bethany"
27,Indianapolis Metro,Indianapolis,IN,39.7684,-86.1581,10,480,"Indianapolis metro: Indy, Carmel, Noblesville, Greenwood, Plainfield, Greenfield"
28,I-70 Corridor (STL-Indy),Effingham,IL,39.12,-88.5434,8,200,"I-70 between STL & Indy: Effingham, Vandalia, Terre Haute, Greencastle"
